,id,item_group_id,mpn,title,description,image_link,link,gender,age_group,brand,availability,price,product_type,google_product_category
34,22776356,1,1,ERDEM - patterned-jacquard midi dress,patterned-jacquard midi dress,https://cdn-images.farfetch-contents.com/22/77/63/56/22776356_53228773_480.jpg,https://www.farfetch.com/ca/shopping/women/erdem-patterned-jacquard-midi-dress-item-22776356.aspx?storeid=15217,female,adult,ERDEM,in_stock,5033.00 USD,Women Home &gt; ERDEM &gt; Clothing &gt; Cocktail & Party Dresses,2271
35,23344730,1,1,Alexander McQueen - metallic-threading dress,metallic-threading dress,https://cdn-images.farfetch-contents.com/23/34/47/30/23344730_53486926_480.jpg,https://www.farfetch.com/ca/shopping/women/alexander-mcqueen-metallic-threading-dress-item-23344730.aspx?storeid=10207,female,adult,Alexander McQueen,in_stock,4560.00 USD,Women Home &gt; Alexander McQueen &gt; Clothing &gt; Evening Dresses,2271
36,21887934,1,1,Jacquemus - La Robe Bari blazer minidress,La Robe Bari blazer minidress,https://cdn-images.farfetch-contents.com/21/88/79/34/21887934_52719117_480.jpg,https://www.farfetch.com/ca/shopping/women/jacquemus-la-robe-bari-blazer-minidress-item-21887934.aspx?storeid=9710,female,adult,Jacquemus,in_stock,1515.00 USD,Women Home &gt; Jacquemus &gt; Clothing &gt; Day Dresses,2271
37,22408449,1,1,Taller Marmo - Sifnos one-shoulder gown,Sifnos one-shoulder gown,https://cdn-images.farfetch-contents.com/22/40/84/49/22408449_53189975_480.jpg,https://www.farfetch.com/ca/shopping/women/taller-marmo-sifnos-one-shoulder-gown-item-22408449.aspx?storeid=13537,female,adult,Taller Marmo,in_stock,1635.00 USD,Women Home &gt; Taller Marmo &gt; Clothing &gt; Cocktail & Party Dresses,2271
38,23008745,1,1,Alexander McQueen - Shadow Rose-print silk dress,Shadow Rose-print silk dress,https://cdn-images.farfetch-contents.com/23/00/87/45/23008745_53147593_480.jpg,https://www.farfetch.com/ca/shopping/women/alexander-mcqueen-shadow-rose-print-silk-dress-item-23008745.aspx?storeid=10319,female,adult,Alexander McQueen,in_stock,4200.00 USD,Women Home &gt; Alexander McQueen &gt; Clothing &gt; Evening Dresses,2271
39,23518652,1,1,Saint Laurent - floral-print mini dress,floral-print mini dress,https://cdn-images.farfetch-contents.com/23/51/86/52/23518652_53474547_480.jpg,https://www.farfetch.com/ca/shopping/women/saint-laurent-floral-print-mini-dress-item-23518652.aspx?storeid=9628,female,adult,Saint Laurent,in_stock,6890.00 USD,Women Home &gt; Saint Laurent &gt; Clothing &gt; Day Dresses,2271
40,22613259,1,1,Brunello Cucinelli - sleeveless denim maxi dress,sleeveless denim maxi dress,https://cdn-images.farfetch-contents.com/22/61/32/59/22613259_53009483_480.jpg,https://www.farfetch.com/ca/shopping/women/brunello-cucinelli-sleeveless-denim-maxi-dress-item-22613259.aspx?storeid=9865,female,adult,Brunello Cucinelli,in_stock,2970.00 USD,Women Home &gt; Brunello Cucinelli &gt; Clothing &gt; Day Dresses,2271
41,22054520,1,1,Dolce & Gabbana - rose-print cotton midi dress,rose-print cotton midi dress,https://cdn-images.farfetch-contents.com/22/05/45/20/22054520_52693016_480.jpg,https://www.farfetch.com/ca/shopping/women/dolce-gabbana-rose-print-cotton-midi-dress-item-22054520.aspx?storeid=13098,female,adult,Dolce & Gabbana,in_stock,3095.00 USD,Women Home &gt; Dolce & Gabbana &gt; Clothing &gt; Day Dresses,2271
42,23311832,1,1,Prada - logo-triangle canvas minidress,logo-triangle canvas minidress,https://cdn-images.farfetch-contents.com/23/31/18/32/23311832_53387964_480.jpg,https://www.farfetch.com/ca/shopping/women/prada-logo-triangle-canvas-minidress-item-23311832.aspx?storeid=12139,female,adult,Prada,in_stock,3000.00 USD,Women Home &gt; Prada &gt; Clothing &gt; Day Dresses,2271
43,22522829,1,1,Valentino Garavani - Crepe Couture embroidered minidress,Crepe Couture embroidered minidress,https://cdn-images.farfetch-contents.com/22/52/28/29/22522829_52575591_480.jpg,https://www.farfetch.com/ca/shopping/women/valentino-garavani-crepe-couture-embroidered-minidress-item-22522829.aspx?storeid=9710,female,adult,Valentino Garavani,in_stock,6170.00 USD,Women Home &gt; Valentino Garavani &gt; Clothing &gt; Day Dresses,2271
